Planet Name,disc_year,semi major axis (au),pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,planet radius (earth radius),pl_radeerr1,pl_radeerr2,pl_radelim,planet mass (earth mass),pl_masseerr1,pl_masseerr2,pl_masselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,radius of star (solar radius),st_raderr1,st_raderr2,st_radlim,mass of star (solar masses),st_masserr1,st_masserr2,st_masslim,metallicity = log(k)*metallicity of sun,st_meterr1,st_meterr2,st_metlim,rowupdate
Wolf 327 b,2024,0.01,0.0004,-0.0004,0,1.24,0.06,-0.06,0,2.53,0.46,-0.46,0,7.24,1.66,-1.66,0,0.41,0.01,-0.01,0,0.41,0.02,-0.02,0,-0.17,0.04,-0.04,0,05-02-2024
TOI-238 b,2024,0.02118,0.00038,-0.00038,0,1.402,0.086,-0.086,0,3.4,0.46,-0.46,0,6.8,1.6,-1.6,0,0.73,0.01,-0.01,0,0.79,0.02,-0.02,0,-0.114,0.051,-0.051,0,16-02-2024
TOI-2120 b,2024,0.0377,0.0013,-0.0013,0,2.122,0.065,-0.065,0,6.8,,,1,20.6,1.7,-1.5,0,0.24,0.01,-0.01,0,0.21,0.01,-0.01,0,0.39,0.22,-0.22,0,10-06-2024
NGTS-27 b,2024,0.0446,0.0026,-0.0036,0,15.648,0.426,-0.392,0,188.47225,30.1937,-22.88365,0,0.266,0.059,-0.059,0,1.77,0.03,-0.03,0,1.07,0.06,-0.06,0,0,0.08,-0.08,0,10-06-2024
NGTS-26 b,2024,0.049,0.0038,-0.0032,0,14.886,0.661,-0.538,0,92.80589,20.65885,-19.0697,0,0.153,0.041,-0.036,0,1.16,0.05,-0.02,0,0.96,0.04,-0.03,0,0.2,0.1,-0.1,0,10-06-2024
TOI-1199 b,2024,0.04988,0.00091,-0.00091,0,10.514,0.28,-0.28,0,75.96099,6.35657,-6.35657,0,0.358,0.041,-0.041,0,1.45,0.03,-0.03,0,1.23,0.07,-0.07,0,0.44,0.04,-0.04,0,05-03-2024
TOI-4438 b,2024,0.0534,0.0037,-0.0037,0,2.52,0.13,-0.13,0,5.4,1.1,-1.1,0,1.85,0.51,-0.44,0,0.37,0.02,-0.02,0,0.37,0.02,-0.02,0,-0.19,0.05,-0.05,0,25-03-2024
TOI-1273 b,2024,0.0549,0.001,-0.001,0,11.097,2.466,-2.466,0,70.55791,4.76743,-4.76743,0,0.28,0.11,-0.11,0,1.06,0.02,-0.02,0,1.06,0.06,-0.06,0,0.07,0.04,-0.04,0,05-03-2024
TOI-1448 b,2024,0.0567,0.0015,-0.0015,0,2.749,0.067,-0.063,0,19.5,,,1,9.51,0.55,-0.55,0,0.38,0.01,-0.01,0,0.37,0.01,-0.01,0,0.37,0.14,-0.14,0,10-06-2024
TOI-782 b,2024,0.0578,0.0018,-0.0018,0,2.734,0.085,-0.085,0,19.1,,,1,7.99,0.54,-0.54,0,0.41,0.01,-0.01,0,0.4,0.01,-0.01,0,0.34,0.15,-0.15,0,10-06-2024
TOI-1994 b,2024,0.0613,0.0019,-0.0019,0,13.675,0.919,-0.796,0,7024.00779,826.35386,-794.57102,0,15,3.9,-3.2,0,2.3,0.13,-0.12,0,1.86,0.18,-0.17,0,-0.01,0.3,-0.42,0,10-03-2024
Gliese 12 b,2024,0.067,0.0005,-0.0006,0,0.9,0.1,-0.09,0,10,,,1,17.7,1.4,-1.4,0,0.27,0.01,-0.01,0,0.24,0.01,-0.01,0,-0.29,0.09,-0.09,0,21-05-2024
HD 77946 b,2024,0.072,0.0012,-0.0012,0,2.705,0.086,-0.081,0,8.38,1.32,-1.32,0,2.48113,0.46866,-0.4466,0,1.31,0.01,-0.01,0,1.17,0.06,-0.05,0,0.18,0.05,-0.05,0,25-03-2024
TOI-238 c,2024,0.0749,0.0013,-0.0013,0,2.18,0.18,-0.18,0,6.7,1.1,-1.1,0,1.83,0.66,-0.66,0,0.73,0.01,-0.01,0,0.79,0.02,-0.02,0,-0.114,0.051,-0.051,0,16-02-2024
TOI-1135 b,2024,0.082,0.003,-0.003,0,9.02,0.227,-0.227,0,51.42,,,1,0.41,,,1,1.16,0.03,-0.03,0,1.12,0.03,-0.03,0,0,0.02,-0.02,0,05-03-2024
TOI-815 b,2024,0.0903,0.0018,-0.0019,0,2.94,0.05,-0.05,0,7.6,1.5,-1.4,0,1.64,0.33,-0.31,0,0.77,0.01,-0.01,0,0.78,0.04,-0.04,0,-0.09,0.05,-0.05,0,13-05-2024
TOI-4515 b,2024,0.118,0.001,-0.001,0,12.17,0.43,-0.43,0,637,17,-17,0,1.941,0.214,-0.214,0,0.86,0.03,-0.03,0,0.95,0.02,-0.02,0,0.05,0.03,-0.03,0,10-03-2024
TIC 393818343 b,2024,0.1291,0.0021,-0.0022,0,12.184,0.258,-0.235,0,1379.37529,47.67426,-47.67426,0,4.22,0.16,-0.24,0,1.09,0.02,-0.02,0,1.08,0.06,-0.06,0,0.318,0.058,-0.058,0,09-06-2024
HD 73344 b,2024,0.131,0.0003,-0.0002,0,2.884,0.082,-0.072,0,10.48,,,1,2.451,,,1,1.22,0.04,-0.04,0,1.2,0.02,-0.02,0,0.143,0.027,-0.015,0,10-06-2024
